 ,Mkt-RF,SMB,HML,RF,Mom,ST_Rev,LT_Rev
197810,-11.91,-9.86,1.38,0.68,-8.46,-1.84,-0.11
197811,2.71,2.97,-2.15,0.7,5.45,9.15,-0.77
197812,0.88,1.29,-2.13,0.78,3.03,-0.39,0.24
197901,4.23,3.62,2.19,0.77,-1.36,5.62,-0.65
197902,-3.56,0.45,1.17,0.73,-1.06,1.31,0.93
197903,5.68,3.26,-0.71,0.81,2.93,1.47,-0.39
197904,-0.06,2.15,1.12,0.8,0.81,-0.4,-0.42
197905,-2.21,0.21,1.31,0.82,-0.54,1.17,0.71
197906,3.85,1.17,1.44,0.81,0.84,1.19,-2.73
197907,0.82,1.28,1.86,0.77,-1.07,0.6,-2.01
197908,5.53,2.05,-1.58,0.77,-0.2,0.79,-1.67
197909,-0.82,-0.27,-0.9,0.83,5.28,-1.63,0.13
197910,-8.1,-3.37,-1.84,0.87,2.01,-1.94,1.54
197911,5.21,2.87,-3.29,0.99,8.14,1.31,-2.27
197912,1.79,4.17,-2.1,0.95,4.78,-1.89,-0.37
198001,5.51,1.62,1.75,0.8,7.55,-3.41,-0.69
198002,-1.22,-1.85,0.61,0.89,7.88,-4.91,0.0
198003,-12.9,-6.64,-1.01,1.21,-9.55,8.46,2.52
198004,3.97,1.05,1.06,1.26,-0.43,1.4,-0.05
198005,5.26,2.13,0.38,0.81,-1.12,2.84,0.83
198006,3.06,1.66,-0.76,0.61,1.62,2.24,-2.8
198007,6.49,4.14,-6.41,0.53,0.39,2.95,-1.61
198008,1.8,3.92,-2.6,0.64,3.21,-0.84,-1.54
198009,2.19,0.98,-4.59,0.75,5.39,-1.52,-1.72
198010,1.06,2.47,-2.76,0.95,7.3,-1.96,-2.73
198011,9.59,-3.36,-8.33,0.96,15.22,-9.71,-7.87
198012,-4.52,-0.26,2.79,1.31,-6.68,6.38,3.45
198101,-5.04,2.92,6.72,1.04,-7.95,-2.29,7.56
198102,0.57,-0.34,1.02,1.07,-1.35,-2.33,2.57
198103,3.56,3.54,0.64,1.21,0.74,1.59,1.54
198104,-2.11,4.4,2.28,1.08,-0.91,-1.5,2.74
198105,0.11,2.0,-0.42,1.15,3.7,-3.78,1.59
198106,-2.36,-0.83,5.13,1.35,-5.81,4.78,0.99
198107,-1.54,-2.19,-0.5,1.24,-2.45,-0.56,-3.48
198108,-7.04,-1.95,4.76,1.28,-1.15,-0.65,1.3
198109,-7.17,-2.65,5.17,1.24,1.95,-1.11,5.13
198110,4.92,2.23,-4.21,1.21,4.01,4.55,-4.93
198111,3.36,-1.03,1.83,1.07,-0.27,2.67,0.64
198112,-3.65,1.2,0.81,0.87,1.3,1.66,1.4
198201,-3.24,-1.28,3.19,0.8,1.72,-1.37,6.34
198202,-5.86,0.44,6.05,0.92,4.88,-4.31,5.95
198203,-1.87,-0.21,3.81,0.98,2.96,-1.89,3.92
198204,3.27,1.47,-2.7,1.13,-0.4,1.65,-1.68
198205,-3.99,0.52,1.75,1.06,2.5,1.99,1.48
198206,-3.09,-0.4,1.53,0.96,4.96,0.15,1.95
198207,-3.19,0.83,0.09,1.05,4.45,-2.88,2.21
198208,11.14,-4.14,0.95,0.76,-3.52,1.14,-0.91
198209,1.29,2.95,0.28,0.51,4.19,4.52,-0.53
198210,11.3,2.34,-3.66,0.59,0.18,2.97,-0.69
198211,4.67,4.67,-1.87,0.63,5.95,-4.48,1.03
198212,0.55,-0.22,-0.02,0.67,0.04,3.8,0.97
198301,3.6,2.73,-0.75,0.69,-1.73,3.18,0.12
198302,2.59,3.27,0.7,0.62,3.77,2.63,-0.37
198303,2.82,1.73,2.02,0.63,0.92,0.34,0.96
198304,6.67,0.5,0.49,0.71,1.72,-0.55,3.1
